Term Name,Subject,Catalog Nbr,Crs Descr,Class Section,Instructor,Total,A+,A,A-,B+,B,B-,C+,C,P,C-,D,F,Withdrawal,Inc/No Grade,Average GPA
Term,Subject,Course Number,Course Description,Class Section,Instructor,Total Enrolled,A+,A,A-,B+,B,B-,C+,C,P,C-,D,F,Withdrawal,Inc/No Grade,Average GPA
Fall 2019,AACS,107,Immigrant Communities Queens,1,"KHANDELWAL, M",11,0,1,4,4,2,0,0,0,0,0,0,0,0,0,3.454545455
Fall 2019,ACCT,100,Fin & Mgr Acct,1,"HO, V",18,0,7,4,2,4,0,0,0,0,0,0,0,1,0,3.611764706
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,11,"CHAN, J",35,0,22,2,3,2,3,0,0,0,0,0,0,2,1,3.73125
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,12,"MINTZ, C",18,0,5,0,5,3,2,0,0,0,0,0,0,2,1,3.393333333
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,2,"GRUZA, M",35,1,2,5,9,2,0,0,1,0,0,0,4,11,0,2.841666667
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,10,"SOLARSH, E",30,1,0,1,4,4,5,1,2,0,2,2,1,6,1,2.526086957
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,5,"FEISULLIN, A",35,5,1,3,1,3,2,5,4,0,1,1,7,2,0,2.272727273
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,4,"FEISULLIN, A",52,5,3,2,1,3,6,7,3,0,6,1,8,2,5,2.248888889
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,7,"COWAN DOCKERY, M",30,2,2,1,0,3,2,1,10,0,1,0,5,2,1,2.151851852
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,3,"RUTHIZER, S",35,3,1,2,1,4,2,3,2,0,3,2,6,4,2,2.14137931
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,8,"SOLARSH, E",34,1,2,0,3,2,5,1,1,1,7,2,4,4,1,2.128571429
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,9,"HUANG, Q",30,0,5,2,1,4,0,0,2,0,0,5,6,4,1,2.068
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,1,"DAUBER, N",35,3,4,1,0,1,1,1,4,1,3,7,4,4,1,2.062068966
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,6,"RUTHIZER, S",35,6,0,0,3,2,1,1,1,0,1,4,8,7,1,1.948148148
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,10,"BENJAMIN, R",19,6,0,0,2,2,0,1,2,0,0,0,0,3,3,3.3
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,9,"LUO, C",14,2,0,1,1,2,0,2,0,0,1,0,0,4,1,3.033333333
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,5,"FEISULLIN, A",46,4,5,3,5,1,5,8,5,0,1,1,3,5,0,2.712195122
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,4,"FEISULLIN, A",45,6,1,2,8,5,1,7,6,0,1,1,3,3,1,2.690243902
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,8,"BENJAMIN, R",11,2,0,0,1,1,0,1,2,0,0,0,1,3,0,2.575
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,1,"GRUZA, M",31,0,3,3,3,1,1,2,12,0,0,0,3,3,0,2.403571429
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,6,"DAVID, A",36,0,2,3,4,1,1,2,5,0,0,0,8,10,0,2.023076923
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,3,"RUTHIZER, S",45,3,0,1,4,3,1,5,2,1,0,2,10,11,2,1.874193548
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,2,"RUTHIZER, S",45,2,1,2,1,3,5,3,3,0,1,11,8,5,0,1.77
Fall 2019,ACCT,201,Intermediate Accounting l,1,"HORNUNG, D",37,0,16,2,3,4,5,1,5,0,0,0,0,1,0,3.308333333
Fall 2019,ACCT,201,Intermediate Accounting l,3,"SUN, T",35,5,9,0,8,5,0,0,2,0,0,1,1,3,1,3.303225806
Fall 2019,ACCT,201,Intermediate Accounting l,2,"WEISS, R",30,1,6,3,6,5,3,0,2,0,1,0,3,0,0,2.923333333
Fall 2019,ACCT,201,Intermediate Accounting l,6,"ZAPF, M",36,3,3,3,4,5,0,3,2,0,2,3,2,5,1,2.686666667
Fall 2019,ACCT,201,Intermediate Accounting l,7,"COWAN DOCKERY, M",36,3,4,1,1,3,2,2,13,0,1,0,2,4,0,2.553125
Fall 2019,ACCT,201,Intermediate Accounting l,4,"SUN, T",29,4,3,0,6,3,0,1,2,0,0,2,5,2,1,2.503846154
Fall 2019,ACCT,201,Intermediate Accounting l,5,"UDDIN, M",28,0,1,2,2,4,0,1,3,0,0,7,7,1,0,1.677777778
Fall 2019,ACCT,202,Intermediate Accounting II,2,"HORNUNG, D",30,0,20,4,2,1,1,0,1,0,0,0,0,1,0,3.762068966
Fall 2019,ACCT,202,Intermediate Accounting II,1,"HORNUNG, D",32,0,22,1,0,1,4,0,4,0,0,0,0,0,0,3.546875
Fall 2019,ACCT,202,Intermediate Accounting II,6,"KUMAR, V",30,2,9,0,0,7,0,0,4,0,0,0,0,5,3,3.318181818
Fall 2019,ACCT,202,Intermediate Accounting II,5,"SCHWALB, H",15,0,5,1,1,0,1,1,2,0,0,3,0,0,1,2.785714286
Fall 2019,ACCT,202,Intermediate Accounting II,7,"SCHWALB, H",22,0,5,1,0,4,0,1,3,0,0,1,2,3,2,2.647058824
Fall 2019,ACCT,202,Intermediate Accounting II,3,"SCHWALB, H",30,0,7,0,0,6,1,1,7,0,0,3,2,3,0,2.518518519
Fall 2019,ACCT,202,Intermediate Accounting II,4,"WEISS, R",30,0,3,2,2,2,4,3,2,0,1,3,7,0,1,2.013793103
Fall 2019,ACCT,261,Business Law I,9,"STEIN, R",36,3,9,5,9,1,3,0,0,0,0,0,0,5,1,3.576666667
Fall 2019,ACCT,261,Business Law I,2,"MINTZ, S",36,2,5,9,5,5,9,0,0,0,0,0,0,1,0,3.345714286
Fall 2019,ACCT,261,Business Law I,1,"MINTZ, S",36,2,3,5,3,5,13,0,1,0,0,0,0,2,2,3.140625
Fall 2019,ACCT,261,Business Law I,7,"KIRSCHNER, D",35,1,5,2,2,9,3,4,5,0,1,0,0,3,0,2.9375
Fall 2019,ACCT,261,Business Law I,8,"SEYMORE, J",21,0,3,2,5,0,3,1,3,0,1,0,1,2,0,2.842105263
Fall 2019,ACCT,261,Business Law I,6,"MILICH, M",35,1,1,3,3,7,7,3,2,0,2,1,0,1,4,2.806666667
Fall 2019,ACCT,261,Business Law I,3,"LEIBOWICZ, B",34,2,2,1,3,3,6,4,3,0,0,3,0,7,0,2.703703704
Fall 2019,ACCT,261,Business Law I,5,"MILICH, M",36,3,2,3,4,2,1,3,5,0,2,1,2,7,1,2.653571429
Fall 2019,ACCT,305,Cost Accounting,5,"COHEN, M",39,4,6,7,7,3,3,1,1,0,0,2,2,3,0,3.122222222
Fall 2019,ACCT,305,Cost Accounting,3,"COHEN, M",36,3,9,6,2,4,5,2,1,0,0,0,3,1,0,3.111428571
Fall 2019,ACCT,305,Cost Accounting,4,"COHEN, M",38,3,7,5,4,5,3,0,7,0,0,1,2,1,0,2.967567568
Fall 2019,ACCT,305,Cost Accounting,2,"HUANG, Q",27,4,2,2,2,2,2,5,3,0,0,1,3,1,0,2.611538462
Fall 2019,ACCT,305,Cost Accounting,1,"HUANG, Q",34,2,1,3,6,5,0,2,4,0,3,2,4,2,0,2.425
Fall 2019,ACCT,305,Cost Accounting,8,"QURESHI, A",38,2,4,0,2,3,4,4,7,0,0,0,7,5,0,2.23030303
Fall 2019,ACCT,305,Cost Accounting,7,"KESSAR, N",11,2,1,1,0,0,0,1,1,0,0,1,4,0,0,1.909090909
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,3,"ADELBERG, A",76,33,17,5,4,8,3,1,1,0,0,0,1,3,0,3.67260274
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,1,"STEVENS, M",38,1,3,4,6,4,4,1,5,0,0,1,4,5,0,2.627272727
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,6,"QURESHI, A",51,5,6,0,5,5,12,0,8,0,0,0,8,2,0,2.528571429
